river_name,river_length_km,source_lat,source_lon,mouth_lat,mouth_lon,countries_passed,continent,main_country,length_category
Apure,621.4319410399165,874874.2450532946,-8034620.136054805,886759.806413385,-7528461.608593132,Venezuela,South America,Venezuela,Medium
Jari,678.4734135404835,247405.510858122,-6092812.510617685,-128058.0511031269,-5778405.610912835,Brazil,South America,Brazil,Medium
Napo,955.3305790700825,-82396.48729312123,-8692704.22149584,-381566.9640407135,-8089108.526457986,"Ecuador, Peru",South America,Peru,Medium
Juruá,1692.0638208903779,-1121339.2396090962,-8059729.529986421,-288731.50810072396,-7318196.592865516,"Brazil, Peru",South America,Brazil,Medium
Parnaíba,1256.5510555651044,-1131696.5014621627,-5115598.056843901,-305892.8975365437,-4657921.667962823,Brazil,South America,Brazil,Medium
Bandama Blanc,447.7228306439916,1048180.5533518346,-679657.6723042445,898190.3540069127,-609457.9055271386,Ivory Coast,Africa,Ivory Coast,Short
Bomu,813.0062095487195,564193.7099066646,3045767.581472504,457622.39491214784,2496018.8852404878,"Central African Republic, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo,Medium
Mbam,439.79821032354295,787398.1618288548,1334192.3618718453,487284.9641579484,1255687.1174613326,Cameroon,Africa,Cameroon,Short
Aïna,265.7316253000945,226185.38829350195,1395260.4516698157,130297.88276756187,1461530.3360326837,"Cameroon, Gabon, Republic of the Congo",Africa,Gabon,Short
Cuanza,995.8480837870062,-1511259.795687123,1931501.875703527,-1036337.571212405,1463122.9439820235,Angola,Africa,Angola,Medium
Cuando,930.5699103121159,-1455174.3469952387,2137861.46886596,-1677122.0505621685,2270906.741138758,"Angola, Botswana, Namibia, Zambia",Africa,Angola,Medium
Marico,179.5897610956341,-2855525.411172537,2942291.548941669,-2704239.805107308,3001343.0600734116,"Botswana, South Africa",Africa,Botswana,Short
Luwegu,231.5635144986436,-1161391.7739369585,4009447.585437929,-1009422.2588167315,4149107.88799859,United Republic of Tanzania,Africa,United Republic of Tanzania,Short
Akobo,446.24972547394674,746943.3484623708,3991151.618347587,878300.5653128022,3672347.3813355216,"Ethiopia, South Sudan",Africa,Ethiopia,Short
Ghäghara,1199.757000419526,3552995.7848614897,9008334.113653256,2948580.5470689437,9430223.025611335,"China, India, Nepal",Asia,India,Medium
Chindwin,1164.1694179894234,2935083.3553320607,10787239.14440901,2429368.503092526,10605736.193404661,Myanmar,Asia,Myanmar,Medium
Krong,243.61848881628063,1323879.2376948735,12029908.186653063,1477052.9382154054,11953191.228984298,"Cambodia, Vietnam",Asia,Vietnam,Short
Wu,1020.8474065959045,3080275.4027432525,11643181.666586664,3447742.1302964543,11955985.087298155,China,Asia,China,Medium
Xiang,889.1072292408236,2917406.035426651,12313821.807874009,3373622.9855099176,12578384.970734412,China,Asia,China,Medium
Huai,436.96666813734043,3795142.9991262658,12659303.586917978,3806330.3976960704,12971101.436057363,China,Asia,China,Short
Ingoda,905.9336492258918,6378341.509392456,12359561.725599859,6716527.446231374,12893982.249759754,Russia,Europe,Russia,Medium
Olëkma,2213.546989271251,7113979.377759156,13067783.06607396,8453652.770884054,13431120.534925345,Russia,Europe,Russia,Long
Künes,383.84435915480185,5338622.64899733,9457656.105202826,5377439.225279691,9100640.148450684,China,Asia,China,Short
Sartang,1667.9992213768771,9405736.57807902,14853259.642941486,10640649.369830197,14962502.764326412,Russia,Europe,Russia,Medium
Omolon,2153.1171220659567,8996609.249289725,17546810.833597906,10627365.588105738,17664239.851131987,Russia,Europe,Russia,Long
Sapt,869.073796615507,3298277.4694749517,9546162.710114291,2887553.0381299756,9769209.355851691,"China, India, Nepal",Asia,China,Medium
Min,373.20338674257493,3212164.0671019056,13078833.482323118,2998329.3437203686,13257455.606661422,China,Asia,China,Short
Lúrio,591.9066129934738,-1677122.0505621685,4009404.1012618355,-1508148.9113508135,4511439.785277868,Mozambique,Africa,Mozambique,Medium
Beni,905.7806969284231,-1917473.3980081084,-7457862.330948191,-1220386.6435743156,-7360631.71320844,Bolivia,South America,Bolivia,Medium
Ituri,526.9123356647212,223916.30176265852,3354162.7938327566,188919.14782468518,2987515.092076436,Democratic Republic of the Congo,Africa,Democratic Republic of the Congo,Medium
Betsiboka,504.3270666345124,-2169891.190749393,5325371.157829487,-1787549.783929326,5173475.495221184,Madagascar,Africa,Madagascar,Medium
Courantyne,248.11181697922993,242872.2000792983,-6324004.286089153,385828.10820301465,-6417840.42033279,"Guyana, Suriname",South America,Guyana,Short
Mazoe,376.4946666268785,-2028093.131624107,3529991.0598572097,-1839691.047749157,3762794.4676050567,"Mozambique, Zimbabwe",Africa,Zimbabwe,Short
Sreng,203.51921049700053,1593552.6512352221,11606714.749412244,1475643.66888082,11542428.830583533,Cambodia,Asia,Cambodia,Short
Tumbes,296.9658217535518,-481102.1806669633,-8820756.96680118,-541355.2176896085,-9038109.903231649,"Ecuador, Peru",South America,Ecuador,Short
Manas,329.915712572768,3265574.0083809416,10216520.204257047,3004148.172721618,10090965.081315942,"Bhutan, China, India",Asia,Bhutan,Short
Ou,423.30520017971713,2547430.8734211107,11327790.93739775,2264153.8800869687,11379547.977990212,"China, Laos",Asia,Laos,Short
Fly,576.3585546936404,-593045.3144198409,15780103.114235714,-763829.8446458054,15697667.987410972,"Indonesia, Papua New Guinea",Oceania,Papua New Guinea,Medium
Kotto,775.5903724483144,1013232.8404500012,2607327.504989741,468287.4808789197,2453241.327010846,Central African Republic,Africa,Central African Republic,Medium
Gamka,194.02859169320914,-3762527.934885759,2520125.4253610037,-3901489.7959661316,2414540.410289747,South Africa,Africa,South Africa,Short
Atrek,665.2942721502112,4430609.758458889,6557750.756905978,4469935.881635634,6000680.412524619,"Iran, Turkmenistan",Asia,Iran,Medium
Buh,260.1113273948922,4575467.624211565,11005518.837342419,4413426.357687839,11114000.985645749,China,Asia,China,Short
Kotuy,3423.824189643446,10698210.672043148,10624043.031539027,11548685.6635674,11463048.467129188,Russia,Europe,Russia,Long
Esil,1524.036884035141,6523077.383415211,8134595.692410308,7011389.059240636,7459846.296482347,Kazakhstan,Asia,Kazakhstan,Medium
Pur,1703.1945217362238,9263081.53810554,8212013.83241854,10279020.543968488,8670462.065425234,Russia,Europe,Russia,Medium
Katun,893.90254684638,6346494.598944827,9573682.758057963,6711715.385508815,9548516.291145226,"Kazakhstan, Russia",Europe,Russia,Medium
Baoulé,672.3402566960002,1060817.0473325683,-830765.1842208952,1413117.0743078631,-725533.4780803787,"Ivory Coast, Mali",Africa,Mali,Medium
Vina,247.51368970312294,825211.4916455813,1503193.6122499905,861784.6303935397,1725017.2655348289,"Cameroon, Chad",Africa,Cameroon,Short
Lomami,1595.0768799797365,-970312.6695293924,2752358.103297655,85888.75856831753,2703329.6947549144,Democratic Republic of the Congo,Africa,Democratic Republic of the Congo,Medium
Gêba,464.3604673872203,1230376.5503706343,-1470335.881691136,1310766.184451153,-1661486.8842656966,"Guinea, Guinea-Bissau",Africa,Guinea,Short
Mania,346.7334554768882,-2280682.311304134,5306292.475569506,-2225772.3830709965,5053828.784706463,Madagascar,Africa,Madagascar,Short
Kabompo,530.7154553621915,-1281427.5039320004,2811849.891712322,-1581558.026816706,2580649.962957835,Zambia,Africa,Zambia,Medium
Save,777.779507796506,-2088078.90514062,3464791.973330583,-2370962.6177403326,3908031.6157494057,"Mozambique, Zimbabwe",Africa,Zimbabwe,Medium
Sokoto,604.9844779293805,1290038.9455799076,804892.0994466771,1267535.021238961,458893.945811627,Nigeria,Africa,Nigeria,Medium
Mariga,172.43717338878645,1279497.2653452752,768490.4085363989,1166613.0952681198,677445.4148456112,Nigeria,Africa,Nigeria,Short
Jamanxim,1301.2144666389813,-1612085.5649182,-6021090.797677389,-813892.6852774002,-6471695.572421646,Brazil,South America,Brazil,Medium
Atrato,465.59115534119206,642130.9041961984,-8501868.479197936,902772.1224859399,-8553690.746054534,Colombia,South America,Colombia,Short
Iriri,1030.6710389252669,-1030225.2894214322,-6085969.188405342,-426607.5343546975,-5856372.738644216,Brazil,South America,Brazil,Medium
Cuyuni,646.6779521249435,899717.5575293109,-6910543.313055265,708809.3600229424,-6531986.382571987,"Guyana, Venezuela",South America,Venezuela,Medium
Gurupi,599.6885123202378,-576355.0052877483,-5267406.751100019,-133847.1765653412,-5130110.900614313,Brazil,South America,Brazil,Medium
Amapari,507.9179720693018,270209.1391633479,-5810556.723610207,138231.01695575166,-5556571.086583974,Brazil,South America,Brazil,Medium
Doce,729.0865839515704,-2358757.604133387,-4865411.849703625,-2215626.88243892,-4431293.013219917,Brazil,South America,Brazil,Medium
Litani,225.50071510543583,285327.93522495707,-6116440.724801197,402170.8714536108,-6016910.881250629,"France, Suriname",Europe,France,Short
Putumayo,1614.3355242681105,144338.97720433577,-8556734.638380913,-342277.3112047754,-7562126.514170677,"Brazil, Colombia, Peru",South America,Colombia,Medium
Huallaga,937.1693859089831,-1175545.7739368435,-8526442.474211434,-830936.4577865669,-8540433.507868752,Peru,South America,Peru,Medium
Essequibo,734.2143260808718,144684.61291675142,-6544797.907952834,711020.801633287,-6523561.323454332,Guyana,South America,Guyana,Medium
Salado,653.8536595138926,-4014856.94058344,-6850551.456615551,-4241835.165545143,-6385053.351560085,Argentina,South America,Argentina,Medium
Guainía,1177.5954935767877,412905.2219711345,-8282974.5722772395,452249.7475902323,-7539930.560037166,Colombia,South America,Colombia,Medium
Velhas,532.6703406512103,-2269574.378956813,-4875804.567789405,-1930419.2202920492,-4991233.31322329,Brazil,South America,Brazil,Medium
Bhima,769.6902798863855,2141662.384926189,8203583.337778874,1840799.1040050702,8603289.88440847,India,Asia,India,Medium
Tista,369.0137578469666,3190731.334281609,9861993.716586126,2910634.415853741,9985026.757313944,"Bangladesh, India",Asia,India,Short
Kong,490.1879389692599,1805320.278613155,11952114.995626042,1515050.3573000147,11803409.984438429,"Cambodia, Laos, Vietnam",Asia,Laos,Short
Jialing,993.0220223947636,4032737.850208443,11898004.37400265,3429305.6514995336,11865190.12761989,China,Asia,China,Medium
Dong,471.3313702826051,2864597.3232044517,12880545.6393476,2628642.0153987277,12673055.457606794,China,Asia,China,Short
Yalong,1604.5895021343235,4013496.8227929035,10866630.378907377,3055089.616591312,11331921.934126407,China,Asia,China,Medium
Bajang,401.29714944958965,299615.9651747973,12667864.534085916,253451.92639210308,12431973.749835605,Malaysia,Asia,Malaysia,Short
Nadym,966.4892182065279,9195866.599178966,7966382.592723811,9460637.001203073,8184510.091040904,Russia,Europe,Russia,Medium
Mahakam,677.5202971422905,150374.1642530012,12731025.299858272,-57251.15340565541,13073517.541795976,Indonesia,Asia,Indonesia,Medium
Baliem,397.8250710644244,-430368.63313341135,15386549.57852301,-628967.048885414,15402486.529060408,Indonesia,Asia,Indonesia,Short
Sittong,414.9421837429105,2284138.451179982,10662945.062574545,1961322.0393267474,10784972.531730257,Myanmar,Asia,Myanmar,Short
Pahang,331.6352690261288,491449.4563763377,11442600.03332234,387802.5157238687,11515778.466161683,Malaysia,Asia,Malaysia,Short
You,453.83632603906955,2790424.700969368,11717191.734293751,2596624.7169387625,12032778.142275073,China,Asia,China,Short
Mahi,486.43462062052186,2582872.238086095,8345999.449999311,2528819.0053840745,8116006.207131353,India,Asia,India,Short
Tapi,695.8815528043054,2459847.6675583874,8697476.609821845,2394133.684179333,8096112.1965696635,India,Asia,India,Medium
Sankh,200.7939792453837,2639164.0427800883,9340085.764096454,2527212.9990965575,9425206.038794827,India,Asia,India,Short
Bei,405.97002854177373,2896496.573749579,12526649.672229996,2633719.9373394935,12558991.02819777,China,Asia,China,Short
Ussuri,449.1181903970423,5381749.872757356,14951990.46475638,5681706.297408492,14851667.034992145,Russia,Europe,Russia,Short
Namhan,344.5958714233061,4469765.538692525,14346734.217744041,4494238.449614225,14157958.538288457,South Korea,Asia,South Korea,Short
Bol’shaya Kuonamka,1248.1744732399604,10823905.479933942,11851090.383522341,11273089.468617076,12528780.396858465,Russia,Europe,Russia,Medium
Caledon,416.8377383776609,-3320687.653774476,3131540.118812243,-3548080.686540236,2900948.9685230325,"Lesotho, South Africa",Africa,South Africa,Short
Shebele,1023.0587847636589,769444.5672541934,4319527.809621709,549607.718858237,5010301.124439247,"Ethiopia, Somalia",Africa,Ethiopia,Medium
Tugela,404.4466962563068,-3311872.3917082744,3228797.914162052,-3382456.9833434047,3504509.3326678127,South Africa,Africa,South Africa,Short
Penner,562.040986541497,1496346.1782202169,8635359.464275673,1628380.3549929324,8922159.347684674,India,Asia,India,Medium
Deseado,673.988685575639,-5841005.07716879,-7925866.211650905,-6052734.328142117,-7389869.386107707,Argentina,South America,Argentina,Medium
Ivindo,219.27021846654557,130297.88276756187,1461530.3360326837,-13803.539041635519,1353135.1560815407,Gabon,Africa,Gabon,Short
Rufiji,378.247378341113,-1009422.2588167315,4149107.88799859,-867789.2957106158,4369572.660780581,United Republic of Tanzania,Africa,United Republic of Tanzania,Short
Shilka,854.7497451037394,6716527.446231374,12893982.249759754,7008846.677515041,13522844.968867555,Russia,Europe,Russia,Medium
Suriname,132.1446585131636,645164.8170754377,-6136492.365501216,551125.2605189579,-6122808.43883754,Suriname,South America,Suriname,Short
Corantijn,359.0917517379734,385828.10820301465,-6417840.42033279,607433.1272402919,-6372779.9428583635,"Guyana, Suriname",South America,Guyana,Short
Gourits,182.19231181765983,-3901489.7959661316,2414540.410289747,-4050951.924293677,2435467.1700335997,South Africa,Africa,South Africa,Short
Pyasina,2098.2801917148904,11057164.014279688,9797881.734461777,12081984.123299928,9660580.448454056,Russia,Europe,Russia,Long
Logone,667.5068533919195,1346413.3875778953,1675244.1904765305,861784.6303935397,1725017.2655348289,"Cameroon, Chad",Africa,Chad,Medium
Mbini,315.13486017035814,174367.81735822148,1325587.930527812,176946.90839392127,1084756.2567691442,"Equatorial Guinea, Gabon",Africa,Equatorial Guinea,Short
Maroni,228.85518864568772,402170.8714536108,-6016910.881250629,592198.0261461893,-6030282.2653986495,"France, Suriname",South America,Suriname,Short
Yong,145.33912354389105,2596624.7169387625,12032778.142275073,2583288.275697542,12122431.642330946,China,Asia,China,Short
Brahmani,442.88358033166634,2527212.9990965575,9425206.038794827,2340811.13337257,9678131.749028837,India,Asia,India,Short
Sepik,913.441275670279,-420763.25055469526,16063098.13223674,-431775.7022635667,16076328.192812467,"Indonesia, Papua New Guinea",Oceania,Papua New Guinea,Medium
Aruwimi,455.2049581239954,135657.72022656162,2621785.9935400393,188919.14782468518,2987515.092076436,Democratic Republic of the Congo,Africa,Democratic Republic of the Congo,Short
Linyanti,118.2487740735397,-2080045.2797592392,2626199.6374132857,-2018788.6975141212,2716075.9938716246,Botswana,Africa,Botswana,Short
Sobat,387.9472668065302,936481.9676347949,3695904.933732889,936481.9676347949,3696671.3423364935,"Ethiopia, South Sudan",Africa,South Sudan,Short
Srepok,230.82887157697473,1477052.9382154054,11953191.228984298,1511661.2525103912,11796561.226704078,Cambodia,Asia,Cambodia,Short
Yongding,264.2424477093573,4742029.459898636,13028120.061956845,4873333.50916897,12867321.014293885,China,Asia,China,Short
Song’acha,128.87832857899073,5681752.7346292725,14851487.662765773,5600619.693904209,14787620.279131936,"China, Russia",Asia,China,Short
Ussuri,642.751209076231,5681752.7346292725,14851487.662765773,6155705.017382043,15032958.000638047,"China, Russia",Europe,Russia,Medium
Ishim,1275.5555736676904,7011389.059240636,7459014.661614605,7867577.094925158,7929692.8191469265,"Kazakhstan, Russia",Europe,Russia,Medium
Bani,423.80151154703475,1472994.549957708,-617121.991563199,1473771.2284274846,-617121.991563199,Mali,Africa,Mali,Short
Tsiribihina,148.13407237519706,-2225772.3830709965,5053828.784706463,-2216573.4854377424,4943889.916504081,Madagascar,Africa,Madagascar,Short
Igan,98.25083486662753,314178.5341824387,12429690.830590822,253451.92639210308,12447182.34042347,Malaysia,Asia,Malaysia,Short
Yu,247.69531037952163,2664086.106993706,12255090.992540937,2583288.275697542,12122431.642330946,China,Asia,China,Short
Podkamennaya Tunguska,2215.141141459027,8385224.200935278,11380841.632228918,8724714.651085384,10032114.684498621,Russia,Europe,Russia,Long
Han,63.16400837689314,4502300.756773259,14110354.236512704,4494238.449614225,14157958.538288457,South Korea,Asia,South Korea,Short
Anabar,912.4618525616659,11273089.468617076,12528780.396858465,11932307.115361486,12700477.666154258,Russia,Europe,Russia,Medium
Shabeelle,692.7020895312058,88259.2055181997,4812692.721715152,549607.718858237,5010301.124439247,Somalia,Africa,Somalia,Medium
Chobe,122.96600059825194,-2000396.8427781586,2811849.891712322,-2018788.6975141212,2716075.9938716246,Botswana,Africa,Botswana,Short
Hai,107.14033038351663,4692070.575944479,13103304.202418394,4742029.459898636,13028120.061956845,China,Asia,China,Short
Yana,1663.4423025585052,10640649.369830197,14962502.764326412,11416074.147058936,15136678.631659396,Russia,Europe,Russia,Medium
Malaya Ob,969.8080915177861,9063841.927639684,7240941.518517626,9875048.123936726,7314081.902702897,Russia,Europe,Russia,Medium
Chao Phraya,586.3224048445902,1519718.026399575,11198490.739790801,1705325.8363977673,11141216.644356778,Thailand,Asia,Thailand,Medium
Suez Canal,41.23339597151295,3505318.6686351984,3624666.9822516083,3536567.7046222626,3602240.0184326107,Egypt,Africa,Egypt,Short
Suez Canal,134.84078033542522,3536483.0316909812,3602283.502608701,3505425.027401764,3624650.6756855715,Egypt,Africa,Egypt,Short
Ismailiya Canal,144.72938167411948,3558266.177097151,3596005.474685545,3497631.9510122086,3477348.0291768946,Egypt,Africa,Egypt,Short
Ishikari,283.2315738416842,5389530.645874849,15926025.138153497,5318974.61296965,15735857.965062996,Japan,Asia,Japan,Short
Kayan,444.8926080975409,194663.7941383848,12775243.271420933,323255.30871170666,13084921.266975874,Indonesia,Asia,Indonesia,Short
Barito,735.7488872694883,62449.474257319154,12783662.895016577,-370424.89057684416,12751680.283501556,Indonesia,Asia,Indonesia,Medium
Purari,435.21477447102507,-657802.6913723863,15973466.374268916,-867505.8687937385,16160513.557724874,Papua New Guinea,Oceania,Papua New Guinea,Short
Indragi,391.50416799162906,-62542.54506877382,11193185.67030768,-39811.424673180314,11504380.1765038,Indonesia,Asia,Indonesia,Short
Okavango,897.4674739777829,-2188557.0994310942,2590651.323458793,-2031360.3540645307,2393749.538596179,"Botswana, Namibia",Africa,Botswana,Medium
Cubango,1125.287417188101,-1410890.3338858339,1797255.3530662064,-2031360.3540645307,2393749.538596179,"Angola, Namibia",Africa,Angola,Medium
Orange,116.85578282498443,-3515885.377130593,2780514.1073166565,-3552143.1677941056,2891165.0289025297,South Africa,Africa,South Africa,Short
Orange,891.18695256174,-3365305.361139516,3234668.277934354,-3479526.686120764,2753026.6725050583,"Lesotho, South Africa",Africa,South Africa,Medium
Semliki,201.68056216827588,-14840.175562846118,3294741.667204237,242872.2000792983,3489105.0632875348,"Democratic Republic of the Congo, Uganda",Africa,Uganda,Short
Semliki,365.22744693911153,-67115.85477330057,3278598.1668304075,-14840.175562846118,3294741.667204237,"Democratic Republic of the Congo, Uganda",Africa,Democratic Republic of the Congo,Short
Koukourou,189.63527439454955,814169.0557527639,2330452.884773539,835924.1959772815,2196657.510463166,Central African Republic,Africa,Central African Republic,Short
Chari,939.5985090715243,980988.2850334266,2102378.3811756014,1343248.8090877805,1674412.5556087855,"Cameroon, Central African Republic, Chad, Niger, Nigeria",Africa,Chad,Medium
Bamingui,241.96420561906513,835924.1959772815,2196657.510463166,980988.2850334266,2102378.3811756014,Central African Republic,Africa,Central African Republic,Short
Jordan,85.154970482862,3835139.912861871,3960402.8703291514,3652867.225826801,3943253.798383215,"Israel, Jordan",Asia,Jordan,Short
Jordan,271.462785284457,3951091.305061843,3992347.4331900934,3652794.408767777,3943319.0246473528,"Israel, Jordan, Lebanon, Palestine",Asia,Israel,Short
Genale,592.7691722285989,731965.9491648413,4316304.545068956,663034.8499440198,4383270.176249284,Ethiopia,Africa,Ethiopia,Medium
Yarkant,1356.9619840024882,4210042.98133432,8630032.65270451,4906317.837628041,9004404.231239019,"China, Pakistan",Asia,China,Medium
Taz,2556.5900357047176,8973722.218663206,9375297.075686237,10283909.59693411,8747195.329660028,Russia,Europe,Russia,Long
Liao,646.7008804891179,5356438.907894164,13753963.364791872,4940557.220337289,13598371.547215823,China,Asia,China,Medium
Yuan,163.3382449939958,3373622.9855099176,12578384.970734412,3358907.28261132,12568503.191717703,China,Asia,China,Short
Yuan,1066.9462870599677,3413665.718658312,12593310.91417769,3353020.7408545325,12466994.818154989,China,Asia,China,Medium
Sutlej,75.71324436649024,3583855.498796413,9049682.1295939,3663668.005826958,8545401.574987164,"China, India",Asia,India,Short
Sutlej,1545.731758927868,3583934.201147655,9049573.419153672,3401429.4079395537,7906129.831227549,"China, India, Pakistan",Asia,India,Medium
Atbara,38.62963091945572,1634626.0221378482,3995858.780409453,1670769.1969012725,3996543.656182887,Sudan,Africa,Sudan,Short
Atbara,431.5339647102348,1670769.1969012725,3996543.656182887,1792953.8399170847,3961125.794756669,Sudan,Africa,Sudan,Short
Biya,98.1039476139519,6723549.457535608,9728432.069722245,6652604.082031735,9768926.708707102,Russia,Europe,Russia,Short
Biya,441.88552695885636,6845019.314876807,9468407.567741353,6723549.457535608,9728432.069722245,Russia,Europe,Russia,Short
Nakanbé,60.95895384427674,1012390.5858694594,-128202.22216065062,961423.346424947,-108449.53517125697,Ghana,Africa,Ghana,Short
Nakanbé,978.1137419363683,1565034.5655299812,-231852.19139585373,1012396.0549970659,-128207.65768266073,"Burkina Faso, Ghana",Africa,Burkina Faso,Medium
Vilyuy,683.5534722945271,9067179.2737301,12521214.150218608,9174541.705125337,12199148.59999971,Russia,Europe,Russia,Medium
Vilyuy,4430.012600324107,9836130.119283205,11523388.19697763,9417084.717247894,14074099.304696731,Russia,Europe,Russia,Long
Han,60.43902336033109,3837824.7633581725,12356463.478053367,3815079.4036744614,12409633.75436879,China,Asia,China,Short
Han,1392.6935973391699,3880980.107243978,11844219.883699944,3862783.3734272625,12216118.299719268,China,Asia,China,Medium
Mahäna Nadï,82.3880124459962,2438340.9807434394,9334987.244449766,2459172.9905558955,9272880.969947623,India,Asia,India,Short
Mahäna Nadï,844.6528010416285,2329100.2743689506,8975161.122817738,2275287.2841848237,9591141.654758545,India,Asia,India,Medium
Sassandra,99.60474470463778,692788.502610655,-784193.6316273004,780596.8157658337,-784079.4856650624,Ivory Coast,Africa,Ivory Coast,Short
Sassandra,570.2574734388597,1079335.969105834,-797880.2760519837,548848.9599848528,-675091.8338146766,Ivory Coast,Africa,Ivory Coast,Medium
Gan,70.32554063783763,3450435.9437396866,12935047.618555808,3390333.0963922436,12911049.788875518,China,Asia,China,Short
Gan,773.6546800426729,2821951.2852311353,12736341.240385415,3390333.0963922436,12911049.788875518,China,Asia,China,Medium
Krishna,72.41358452667963,1859729.3022557842,8829124.952937718,1819471.3013747446,8793924.512391957,India,Asia,India,Short
Krishna,1155.2540657922789,2023399.2707570258,8214976.191914747,1859729.3022557842,8829124.952937718,India,Asia,India,Medium
Kwango,1219.408265735547,-1252847.2893699782,2092431.3758947572,-372696.4802121642,1933023.821866716,"Angola, Democratic Republic of the Congo",Africa,Democratic Republic of the Congo,Medium
Kafue,1262.4028384843643,-1294585.988146004,3023074.2770749494,-1787971.1558635163,3222275.2877483843,Zambia,Africa,Zambia,Medium
Jequitinhonha,839.0306916762585,-2058541.462474437,-4832211.6812580535,-1775333.3800606357,-4326131.968865548,Brazil,South America,Brazil,Medium
Chubut,1003.4300779254473,-5343103.194959567,-7893198.724362451,-5396502.552950805,-7398009.080319764,Argentina,South America,Argentina,Medium
Mendoza,199.4820531652541,-3771797.5438860534,-7807556.639550987,-3646706.156602183,-7728888.329480132,Argentina,South America,Argentina,Short
Salado,1511.777198096227,-2761311.6306543495,-7332068.045038583,-3735240.790822088,-6759517.333968785,Argentina,South America,Argentina,Medium
Branco,1122.1348790973811,314867.7836705748,-7099987.5617182525,-152181.97785069252,-6890113.903575454,Brazil,South America,Brazil,Medium
Purús,2476.0781321779705,-1206472.222054609,-8062428.266665078,-406045.90728890075,-6844300.606302451,"Brazil, Peru",South America,Brazil,Long
Meta,940.6532686946431,516961.0482190784,-8223412.122076423,686710.5530290941,-7508575.751314461,"Colombia, Venezuela",South America,Colombia,Medium
Madre de Dios,1166.5061185916738,-1357380.101781967,-8033402.579124254,-1155555.0123064066,-7279789.194333033,"Bolivia, Brazil, Peru",South America,Bolivia,Medium
Paraiba,850.4143920182413,-2621264.4914863766,-5014866.962928815,-2449185.308384551,-4566110.265668431,Brazil,South America,Brazil,Medium
Uruguay,1867.2302583906667,-3293213.468584283,-5536668.922739266,-3798900.2431566785,-6478843.283866624,"Argentina, Brazil, Uruguay",South America,Brazil,Medium
Pilcomayo,1475.1457594727956,-2184375.7094776286,-7396560.513703729,-2893155.4857675745,-6420041.806747403,"Argentina, Bolivia, Paraguay",South America,Bolivia,Medium
Lom,388.41157772667384,742389.8862920231,1632531.8585110228,546198.7859921862,1461177.0271019433,Cameroon,Africa,Cameroon,Short
Tshuapa,711.0356768816198,-351453.5627202236,2737845.2595272427,-31134.876918930768,2310287.0981112807,Democratic Republic of the Congo,Africa,Democratic Republic of the Congo,Medium
Omo,889.2126771242794,1016295.7361014123,4122365.1197025497,502430.3449647653,4012502.3488083277,"Ethiopia, Kenya",Africa,Ethiopia,Medium
Mananantanana,271.41603096905044,-2496869.6382329846,5250616.423606836,-2427430.8167689336,5082039.1439455785,Madagascar,Africa,Madagascar,Short
Ouham,813.0064934032234,716063.4331346115,1705710.2913503733,1034724.6599223253,2029895.6951537116,"Central African Republic, Chad",Africa,Central African Republic,Medium
Kadéï,756.3447910410217,649680.6851964211,1627150.6917197467,182988.30989913942,1788830.2939485512,"Cameroon, Central African Republic, Republic of the Congo",Africa,Central African Republic,Medium
Ruvuma,849.8218399779181,-1202216.5649402065,3962886.903888358,-1164834.9924753546,4501416.682688866,"Mozambique, United Republic of Tanzania",Africa,Mozambique,Medium
Helmand,1225.3281955310013,4081575.6709509557,7624189.3044967335,3637190.0087115117,6857737.216714609,"Afghanistan, Iran",Asia,Afghanistan,Medium
Hong,1081.9154409745531,2911927.426836551,11152305.109260015,2293728.49323512,11855634.479923863,"China, Vietnam",Asia,China,Medium
Yamuna,1465.7657375763035,3599785.703193268,8720762.386118641,2908425.7867430383,9117408.733855823,India,Asia,India,Medium
Narmada,1230.1027714105928,2585743.700880726,9080800.493109109,2466159.5252863024,8140987.866295704,India,Asia,India,Medium
Dadu,956.135752081623,3872784.479922317,11139765.35997974,3425907.54688726,11545635.788570253,China,Asia,China,Medium
Xar Moron,487.0530816361272,5221172.317193574,13047617.2794117,5347269.17236688,13442774.294117766,China,Asia,China,Short
Kapuas,724.3470556314278,132849.5313988871,12630870.371276397,-26232.411694977414,12158143.02194578,Indonesia,Asia,Indonesia,Medium
Taritatu,244.73350072204366,-410661.0670088886,15617581.006095145,-352967.6883987297,15440252.535995545,Indonesia,Asia,Indonesia,Short
Chenab,1243.7465047746623,3779018.585794334,8620085.647423666,3359596.900367152,7863515.338658249,"India, Pakistan",Asia,Pakistan,Medium
Anadyr’,1985.7103185528933,10144863.760108067,19031817.18919779,9489153.456733935,19418772.001188662,Russia,Europe,Russia,Medium
Olenëk,5798.862237840249,10280350.990117833,11683752.402879681,12040312.437691301,13422173.665694598,Russia,Europe,Russia,Long
Tom’,1329.2423790408432,7068970.549903793,9993272.444205226,7706061.641122025,9399403.615806753,Russia,Europe,Russia,Medium
Kamchatka,979.3532843823583,7190607.8229891425,17547550.064591456,7571386.601849316,18086971.26900183,Russia,Europe,Russia,Medium
Digul,521.6475369779208,-537578.1878209116,15660744.486387592,-793643.8937427128,15500124.81095101,Indonesia,Asia,Indonesia,Medium
Tocantins,1730.9831294431667,-1784431.8737232948,-5474549.059432093,-593045.3144198409,-5423835.639065822,Brazil,South America,Brazil,Medium
